Category id,Vendor ID,Product Type,Operator,Circle,RTP Type,Product Name,Product Code,Description,Additional Description,Rate In Ruppes,Vendor Rate,Discount,Page Title,Page Keywords,Page Description
3,1,Featured,Tata,Kolkata,y,8282825839,NW1020,Description,Additional Description,2000,600,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Tata,Kolkata,y,8282825869,NW1021,Description,Additional Description,2000,600,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Tata,Kolkata,y,8282825870,NW1022,Description,Additional Description,2000,600,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Tata,Kolkata,y,8282825894,NW1023,Description,Additional Description,2000,600,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Tata,Kolkata,y,8282827370,NW1024,Description,Additional Description,2000,600,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Tata,Kolkata,y,8282827913,NW1025,Description,Additional Description,2000,600,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Tata,Kolkata,y,8282827943,NW1026,Description,Additional Description,2000,600,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Tata,Kolkata,y,8282824418,NW1027,Description,Additional Description,2000,600,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Tata,Kolkata,y,8282824429,NW1028,Description,Additional Description,2000,600,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
3,1,Featured,Tata,Kolkata,y,8282824451,NW1029,Description,Additional Description,2000,600,0,VIP Number | Fancy Number | Cloud Telephony in India | Numberwale,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive,one page| multi page| multipurpose| clean| modern| corporate| company| business| agency| bootstrap| responsive
